"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"modelv0.nlogo"
"mathias_et_al"
"08/23/2024 17:02:40:934 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-70","70","-70","70"
"[run number]","LongueurFilet","PropBiomassPecheSenegalais","QtéMaxPoissonPirogueEtrangers","PrixPoisson","BiomassInit","nbBoats","LongueurFiletEtrangers","ReserveIntegrale","satifsactionCapitalG","SatisfactionCapital","satisfactionBiomassG","ZonesExclusionPeche","SortieSemaine","capital_totalI","PropBiomassPecheEtrangers","QtéMaxPoissonPirogue","CoutMaintenance","ProportionSenegalais","[step]","sumBiomass","biomassfished","capital_moyen_1","capital_moyen_2","meanMST","medianMFET","MFETb","MFETc","MSTb","MSTc"
"95","2000","1","31","1900","10000","90","3000","6","1085000000","5000000","100000","true","6","100000","3","34","3000","50","3650","6753.66930164862","5.3384961507377495","-7567862.539914139","1.0211244492253201E7","0.28301334236078646","766","1","0","1","0"
"97","2000","1","31","1900","10000","90","3000","6","1085000000","5000000","100000","true","6","100000","3","34","3000","50","3650","6758.291104947917","5.418597815499968","-7566176.147102807","1.0184032836848201E7","0.2820891031117846","766","1","0","1","0"
"96","2000","1","31","1900","10000","90","3000","6","1085000000","5000000","100000","true","6","100000","3","34","3000","50","3650","6749.677683116117","5.626848000072884","-7570770.177383552","1.0199760237317301E7","0.2827392946764894","768.5","1","0","1","0"
"98","2000","1","31","1900","10000","90","3000","6","1085000000","5000000","100000","true","6","100000","3","34","3000","50","3650","6745.298632593021","5.591655616453796","-7569685.162626375","1.0175414119582348E7","0.281554441453205","768.5","1","0","1","0"
"99","2000","1","31","1900","10000","90","3000","6","1085000000","5000000","100000","true","6","100000","3","34","3000","50","3650","6759.560998560093","5.336522902922217","-7571234.869604173","1.0199598054719917E7","0.28262107802836123","768.5","1","0","1","0"
"100","2000","1","31","1900","10000","90","3000","6","1085000000","5000000","100000","true","6","100000","3","34","3000","50","3650","6749.774697298326","5.463168523054062","-7570203.33663327","1.0191986638920948E7","0.2821428379518428","767","1","0","1","0"
"101","2000","1","31","1900","10000","100","3000","0","1085000000","5000000","100000","true","6","100000","3","34","3000","50","3650","3764.447111244201","2.64551543841119","-7052501.062681129","1.3479708714801755E7","0.35194439518750775","514","1","0","1","0"
"102","2000","1","31","1900","10000","100","3000","0","1085000000","5000000","100000","true","6","100000","3","34","3000","50","3650","3776.2983671526367","2.8089437849828127","-7045754.596662559","1.3497841219409423E7","0.35201962396358927","525.5","1","0","1","0"
"104","2000","1","31","1900","10000","100","3000","0","1085000000","5000000","100000","true","6","100000","3","34","3000","50","3650","3773.165234415367","2.513891382254789","-7054496.6237871675","1.3453910181818327E7","0.35208410577165916","519","1","0","1","0"
"103","2000","1","31","1900","10000","100","3000","0","1085000000","5000000","100000","true","6","100000","3","34","3000","50","3650","3778.6543367054737","2.6399757423811216","-7036454.322583963","1.3542839748691497E7","0.352855200726495","520.5","1","0","1","0"
"105","2000","1","31","1900","10000","100","3000","0","1085000000","5000000","100000","true","6","100000","3","34","3000","50","3650","3763.2076165009867","2.8194047988063704","-7044708.835951732","1.3518351379007213E7","0.3526295143982504","519.5","1","0","1","0"
"106","2000","1","31","1900","10000","100","3000","0","1085000000","5000000","100000","true","6","100000","3","34","3000","50","3650","3762.5885451688664","2.694058595611608","-7051348.092280219","1.3510691053110793E7","0.35190946754146984","523.5","1","0","1","0"
"107","2000","1","31","1900","10000","100","3000","0","1085000000","5000000","100000","true","6","100000","3","34","3000","50","3650","3774.0733101217484","2.700815811487491","-7045944.714086113","1.3505105559268592E7","0.35279340566042805","518","1","0","1","0"
"108","2000","1","31","1900","10000","100","3000","0","1085000000","5000000","100000","true","6","100000","3","34","3000","50","3650","3777.5777781730403","2.8582423284795064","-7042176.099154881","1.3477673860681618E7","0.35181274482936503","524","1","0","1","0"
"109","2000","1","31","1900","10000","100","3000","0","1085000000","5000000","100000","true","6","100000","3","34","3000","50","3650","3762.144663775276","2.618469055618901","-7043468.505830011","1.3498033007946696E7","0.35164616682518446","523","1","0","1","0"
